| idx | angle (deg) | strain   | atoms | surf_ratio |  idx1  |  idx2  |
| 257 |    21.7820 | 0.094022 |    12 |   3/3   |   1, -2 |   5, -7 |
| 258 |    21.7810 | 0.094232 |    50 |  13/12  |   5, -9 |   3, -8 |
| 259 |    21.7830 | 0.094685 |   136 |  30/38  |   2,-10 |  -1,-10 |
| 260 |    21.7800 | 0.095066 |    68 |  19/15  |   5, -7 |   3, -8 |
| 261 |    21.7840 | 0.095694 |   148 |  33/41  |   1,-10 |   4, -7 |
| 262 |    21.7830 | 0.098420 |    34 |  10/7   |   1,-10 |   0,-10 |
| 263 |    21.7830 | 0.102149 |    46 |  11/12  |   1,-10 |   2, -9 |
| 264 |    21.7830 | 0.103003 |    18 |   4/5   |   4,-10 |   4, -9 |
| 265 |    21.7830 | 0.106667 |    16 |   5/3   |   4, -9 |   3, -8 |
| 266 |    21.7830 | 0.106807 |    30 |   9/6   |   1, -9 |   2, -9 |
| 267 |    21.7810 | 0.107826 |    38 |  12/7   |   6, -8 |   6, -6 |
| 268 |    21.7830 | 0.110196 |   136 |  30/38  |   4,-10 |   1,-10 |
| 269 |    21.7810 | 0.110901 |    76 |  18/20  |   6, -6 |   7, -4 |
| 270 |    21.7830 | 0.111590 |    70 |  22/13  |   4, -9 |   2,-10 |
| 271 |    21.7830 | 0.112799 |    22 |   7/4   |   0, -7 |   1,-10 |
| 272 |    21.7800 | 0.113253 |    58 |  18/11  |   6, -6 |   4, -7 |
| 273 |    21.7830 | 0.113779 |    42 |  10/11  |   1, -9 |   0,-10 |
| 274 |    21.7840 | 0.118486 |    50 |  12/13  |   4,-10 |   4, -7 |
| 275 |    21.7830 | 0.119070 |    32 |  10/6   |   5, -9 |   5, -7 |
| 276 |    21.7830 | 0.120481 |   126 |  27/36  |   5, -9 |   2, -9 |
| 277 |    21.7830 | 0.120526 |    28 |   9/5   |   4, -9 |   3, -9 |
| 278 |    21.7810 | 0.122024 |    58 |  19/10  |   6, -7 |   7, -5 |
| 279 |    21.7830 | 0.128294 |   120 |  26/34  |   4, -9 |   6, -7 |
| 280 |    21.7820 | 0.130289 |     6 |   2/1   |   1, -2 |   3, -8 |
| 281 |    21.7830 | 0.131969 |   104 |  22/30  |   2, -9 |   4, -7 |
| 282 |    21.7830 | 0.135654 |   102 |  22/29  |   1,-10 |   3, -8 |
| 283 |    21.7830 | 0.136935 |    90 |  20/25  |   2,-10 |   0,-10 |
| 284 |    21.7830 | 0.138559 |    48 |  14/10  |   5, -9 |   6, -8 |
| 285 |    21.7830 | 0.139871 |    38 |  12/7   |   2,-10 |   3, -9 |
| 286 |    21.7820 | 0.141246 |    20 |   7/3   |   5, -7 |   4, -7 |
| 287 |    21.7830 | 0.142336 |    92 |  20/26  |   3,-10 |   1,-10 |
| 288 |    21.7830 | 0.144298 |    42 |  13/8   |   3,-10 |   4, -9 |
| 289 |    21.7800 | 0.147625 |    42 |  12/9   |   5, -7 |   6, -6 |
| 290 |    21.7800 | 0.148902 |    32 |   7/9   |   0, -7 |  -1,-10 |
| 291 |    21.7810 | 0.149046 |    16 |   6/2   |   6, -7 |   6, -6 |
| 292 |    21.7830 | 0.150102 |    76 |  17/21  |   4, -9 |   5, -7 |
| 293 |    21.7830 | 0.156966 |    80 |  18/22  |   5, -9 |   3, -9 |
| 294 |    21.7810 | 0.160616 |    12 |   5/1   |   6, -5 |   7, -5 |
| 295 |    21.7820 | 0.161374 |    18 |   4/5   |   4, -1 |   8, -3 |
| 296 |    21.7810 | 0.167347 |    32 |  10/6   |   6, -8 |   4, -7 |
| 297 |    21.7820 | 0.168028 |    42 |  11/10  |   7, -4 |   8, -3 |
| 298 |    21.7830 | 0.174438 |    68 |  15/19  |   3, -9 |   4, -7 |
| 299 |    21.7830 | 0.214520 |    40 |   8/12  |   1, -9 |   2,-10 |
| 300 |    21.7830 | 0.218880 |    42 |  10/11  |   0,-10 |  -1,-10 |
| 301 |    21.7860 | 0.224003 |    34 |   7/10  |   7, -5 |   7, -4 |
| 302 |    21.7830 | 0.245254 |    80 |  16/24  |   4,-10 |   2, -9 |
| 303 |    21.7810 | 0.271710 |    30 |   6/9   |   6, -5 |   6, -6 |
| 304 |    21.7890 | 0.296296 |    16 |   3/5   |   5, -8 |   4, -7 |
| 305 |    21.7830 | 0.303893 |    38 |   7/12  |   3,-10 |   2, -9 |
| 306 |    21.7830 | 0.314529 |    42 |   9/12  |   3, -9 |   2, -9 |
| 307 |    21.7820 | 0.329541 |    48 |  10/14  |   4,-10 |   3,-10 |
| 308 |    21.7810 | 0.334874 |    70 |  13/22  |   5, -8 |   6, -7 |
| 309 |    21.7830 | 0.335800 |    58 |  11/18  |   2, -9 |   3, -8 |
